"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed18";"f2";500;50;-4,32818084456688e-14;1,66550155010271e-12;-1,11278340417032e-12;-1,93220620027119e-15;5,26699072185492e-14;-8,00859376186041e-13;9,89508014827193e-13;1,10164469441446e-14;5,71966785915816e-12;1,66069809692409e-13;1,05632903829455e-11;41,616
"elapsed19";"f2";500;100;-3,70378532970291e-14;3,20140719986868e-15;-7,02683537380864e-14;-7,57119423694829e-16;-3,74158211601856e-14;3,0845305697256e-15;4,6409205703829e-14;-4,9312832584964e-13;5,94190443313788e-14;9,21773251326857e-14;8,42898986406124e-13;81,7219999999998
"elapsed20";"f2";1000;10;-1,96137411582658e-17;1,224289739203e-20;-8,13982685439435e-18;-2,89639210604815e-18;8,879862859775e-19;2,16838697281719e-19;-2,00471046402956e-19;-2,53421352900219e-20;3,43440632361638e-19;-7,33715952642287e-19;3,30699977660565e-17;23,174
"elapsed21";"f2";1000;30;-3,53219348923485e-24;4,55510436665426e-24;2,16426736936798e-21;8,10348159780049e-23;1,34391565453994e-22;-9,61567357503506e-24;5,15966075434857e-23;1,30545340367039e-25;4,97928953446022e-27;2,50670228397949e-24;2,45163555668827e-21;52,3560000000007
"elapsed22";"f2";1000;50;-1,44044683328202e-23;1,34324268818828e-25;-1,73878971928802e-22;-8,73873025387928e-24;1,32733877923257e-22;1,12866541435038e-26;1,22565323076213e-25;-8,34642235816738e-25;6,35788629623826e-26;1,41184901547443e-22;4,7210734733102e-22;83,0770000000002
"elapsed23";"f2";1000;100;5,51594299473591e-22;8,98566743693481e-26;-4,61484176450537e-26;-8,69336877366781e-25;6,99102659895728e-26;-1,45192737873691e-27;-2,92923671577082e-25;7,06334602898026e-27;5,82967258303316e-28;5,16695998783965e-25;5,53488269619989e-22;163,879
"elapsed24";"f3";100;10;0,00106509612533597;0,000341633681424061;-0,00376609085348484;0,00254723882533378;7,09083437498105e-06;-0,000911606124010516;-3,29208848314496e-05;0,000195046994834463;-1,34865169987645e-05;0,000379108688903853;1,04944046546105e-05;2,58500000000004
"elapsed25";"f3";100;30;2,64139998166443e-06;1,6550483886489e-06;-7,31697931882464e-09;9,76387607508934e-07;4,19501574963746e-08;4,06448389927969e-09;-1,33960674888436e-06;6,92095143775348e-08;-2,05124095164207e-07;-9,45172549770408e-09;1,89404962351774e-10;5,77400000000034
"elapsed26";"f3";100;50;1,17446761287396e-06;1,50917328965703e-06;-7,54857643441209e-06;-8,20485697174073e-06;6,61618121517482e-07;3,82463909511634e-06;4,10736889600091e-06;-4,82181423617999e-06;-2,18215535410877e-06;-5,3641438956129e-06;9,52720042026716e-10;9,15399999999954
"elapsed27";"f3";100;100;2,85511782547754e-06;1,83188172631769e-06;6,18063145325985e-06;-6,48190793234983e-06;1,81800823603676e-05;1,11760662863726e-05;3,26984759725963e-06;-2,21729038277711e-05;2,08571944852034e-05;4,19707026410546e-06;6,27090990596498e-09;17,2370000000001
"elapsed28";"f3";500;10;-3,50374280921194e-14;7,87388673743973e-16;-1,50699149063742e-12;2,08100849351403e-13;1,54221280338491e-14;-7,23843121751238e-13;3,95689593162099e-14;-3,83469746119448e-14;1,22783536805162e-13;2,21737695730766e-13;2,47832291896672e-23;12,3139999999994
"elapsed29";"f3";500;30;-1,8336064209565e-15;2,83873828768782e-13;2,01757645415784e-13;-3,33361609250865e-13;5,10966108752119e-12;2,45780430201758e-15;9,75226938253425e-14;-8,47949039347115e-13;3,50992598300774e-14;-1,62976043630396e-12;1,33977993574947e-22;28,8620000000001
"elapsed30";"f3";500;50;3,86147876238534e-15;1,24036546250411e-16;-3,08536985726386e-16;-2,05924389903973e-17;2,44893869653269e-15;-5,35139608110855e-16;1,45939124782309e-15;-1,65576678778382e-17;-1,91831513082929e-14;-3,60611202389537e-16;5,29715673185271e-28;45,2060000000001
"elapsed31";"f3";500;100;-1,00945512351345e-13;2,13797711085016e-13;1,18933977253533e-15;-9,94705134467182e-14;-1,92091717898889e-13;9,55217587772774e-15;-6,82959825452009e-14;-1,24960594702603e-13;3,08841875862015e-13;5,02801290781883e-15;2,8716142103608e-25;86,5509999999995
"elapsed32";"f3";1000;10;1,3008217116214e-25;1,4703302626793e-26;-1,48651005739213e-24;-6,16757584636594e-23;-2,65853199677677e-25;-4,26858156786744e-24;-1,12808367737792e-24;6,7700770912608e-26;-1,44092465798997e-25;1,30871185765997e-25;3,14025778149568e-44;24,5630000000001
"elapsed33";"f3";1000;30;1,32167134321771e-23;-8,21670117263317e-27;3,28133258290147e-25;1,30495334569598e-25;-8,97622558091739e-25;-8,10143991471057e-24;7,52786648936226e-23;-8,69439845023464e-24;1,26123702800155e-24;-2,90594934393126e-22;6,5190101684938e-44;58,7060000000001
"elapsed34";"f3";1000;50;-1,23098889852213e-25;-3,97123588218266e-27;-4,25246879063199e-27;7,36431591410244e-25;1,00921720327881e-26;-1,77412172415267e-26;2,56891958354368e-26;-1,07081731919804e-26;-6,99334314981059e-25;2,29030579272453e-23;5,22498449249395e-46;90,2380000000003
"elapsed35";"f3";1000;100;-5,30932323399712e-25;-1,45799174075508e-25;-1,52670874788679e-25;-8,52222720901459e-26;1,55705150898546e-26;5,7974209991343e-26;1,76664608736563e-24;-3,47056071939972e-24;-2,33834559719152e-24;-2,10031968337814e-23;7,05073492883413e-46;171,849
"elapsed36";"f4";100;10;-7,63137700648899e-06;-1,78823135982447e-06;-7,04941594963439e-06;-1,14277354705052e-06;8,87098518709335e-06;-8,45527402063969e-07;7,62069708796939e-07;7,66006651960479e-06;-9,5263857759763e-06;-1,80107399217664e-07;9,5263857759763e-06;2,30299999999988
"elapsed37";"f4";100;30;-6,02178983766964e-09;3,00618804205906e-09;-2,73146165380315e-09;-1,58002975769909e-09;3,45732184618997e-09;-2,07030976034282e-09;-1,85226313592707e-09;-1,59320156093925e-09;3,85384643459633e-09;-7,75785687609716e-10;6,02178983766964e-09;5,3169999999991
"elapsed38";"f4";100;50;8,22187104724718e-07;4,84359814954096e-07;3,41158078445042e-08;-2,60665397258716e-07;-9,97385876859749e-07;7,26152802088298e-08;1,92530785998283e-07;-2,54114383210258e-07;9,89488552093109e-07;-6,07747318902261e-07;9,97385876859749e-07;8,20900000000074
