"";"fungsi";"iterasi";"populasi";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"optimum";"time"
"elapsed36";"f4";100;10;-2,57029555097669e-249;-1,26037167102011e-249;-5,58795992167227e-251;2,99101830348531e-249;9,36179178396587e-251;3,08280228155529e-249;-3,60531480556219e-249;-3,54361686717124e-249;-3,31245054716518e-249;1,159992800732e-249;3,60531480556219e-249;0,0499999999999972
"elapsed37";"f4";100;30;-3,69691844859479e-273;-2,41465463150059e-272;6,45619547039733e-273;2,32630408166088e-273;2,60847561338691e-273;1,233801505287e-272;-2,68134465853791e-272;1,79033400391035e-273;2,5303409986456e-272;1,51685876695975e-272;2,68134465853791e-272;0,0300000000000011
"elapsed38";"f4";100;50;0;0;0;0;0;0;0;0;0;0;0;0,0600000000000023
"elapsed39";"f4";100;100;0;0;0;0;0;0;0;0;0;0;0;0,0799999999999983
"elapsed40";"f4";500;10;0;0;0;0;0;0;0;0;0;0;0;0,129999999999995
"elapsed41";"f4";500;30;0;0;0;0;0;0;0;0;0;0;0;0,150000000000006
"elapsed42";"f4";500;50;0;0;0;0;0;0;0;0;0;0;0;0,239999999999995
"elapsed43";"f4";500;100;0;0;0;0;0;0;0;0;0;0;0;0,319999999999993
"elapsed44";"f4";1000;10;0;0;0;0;0;0;0;0;0;0;0;0,180000000000007
"elapsed45";"f4";1000;30;0;0;0;0;0;0;0;0;0;0;0;0,280000000000001
"elapsed46";"f4";1000;50;0;0;0;0;0;0;0;0;0;0;0;0,349999999999994
"elapsed47";"f4";1000;100;0;0;0;0;0;0;0;0;0;0;0;0,609999999999999
"elapsed48";"f5";100;10;0,000466919286132257;-0,000456513903200524;0,000570157584593015;-0,000489881697956198;-0,000107319424768435;7,45379780480464e-05;-0,000733416310721255;0,000636915602545155;0,000337934110288783;-0,000688978399990634;8,99963565289575;0,0300000000000011
"elapsed49";"f5";100;30;0,000902650674430767;0,00124515782716607;-0,00102669770673272;0,000823122306397218;-0,000193262230474673;-0,00123599864639155;0,000839930813192545;-0,000505838514758577;0,000540300925823636;0,00223038616269011;8,99833531957696;0,0999999999999943
"elapsed50";"f5";100;50;0,000849020758926464;-0,00172212313899537;0,00327895879866048;0,00308392522908395;-0,0013758645089897;0,00530395379598749;0,00499527260384631;0,000334582552527452;-0,00411319633589974;-0,00218705463823279;8,98879899625535;0,0900000000000034
"elapsed51";"f5";100;100;1,68924137795234e-119;-8,49340973318037e-120;-1,33981873940149e-119;-7,38427857855322e-119;4,12040656424685e-119;-3,10031292621138e-119;-1,00304647727603e-118;-2,7001033591509e-119;-4,82318582626146e-119;1,58117629239996e-118;9;0,140000000000001
"elapsed52";"f5";500;10;0;0;0;0;0;0;0;0;0;0;9;0,159999999999997
"elapsed53";"f5";500;30;0;0;0;0;0;0;0;0;0;0;9;0,310000000000002
"elapsed54";"f5";500;50;0;0;0;0;0;0;0;0;0;0;9;0,349999999999994
"elapsed55";"f5";500;100;0,107841103331752;0,00152069887035476;-0,00337162403334306;0,00170984269362354;-0,0003298127732048;0,000256342756773802;0,000890918367399749;0,0208310394949159;-0,00723173427029565;0,000851535525646096;8,8289730160412;0,580000000000013
"elapsed56";"f5";1000;10;0,000277407163621642;0,000288814761749002;0,00157884959794109;-0,00102824663821472;0,00059032504036952;0,00095405796870651;0,000568195594433829;-0,00116866934709962;0,000966043148486859;-0,00114589394894092;8,99483696289109;0,25
"elapsed57";"f5";1000;30;8,04359562808761e-05;-7,48037293093776e-09;-1,15334890775852e-09;-4,38705429604376e-05;-1,40367768308748e-05;-6,99005787030384e-08;0,00696735658004384;-0,000944554896963835;2,01379991920149e-05;-0,000130601951593798;8,99287365090379;0,459999999999994
"elapsed58";"f5";1000;50;-6,44308032689808e-05;1,38742079351975e-06;6,65124819731954e-08;-7,04700133333369e-07;0,000240778779520141;8,90050286913918e-06;-0,000391310122308002;0,00129356554701886;0,0106704483571542;6,90623427199676e-08;8,988170324462;0,620000000000005
"elapsed59";"f5";1000;100;0,0160605542918188;0,0143689502512295;0,00952073723259509;0,000125717156523604;0,00171711829265522;0,00739069625432252;-0,00172502327197853;-0,00621261872438506;0,000431505924265148;-0,00627827137771976;8,95977700835299;1,14
"elapsed60";"f6";100;10;3,26913810166384e-145;1,02610384757573e-144;5,46587748616339e-145;3,34718570348929e-145;2,17781138870598e-145;2,54362570266158e-145;-1,37750711824265e-145;-1,5677025896558e-145;3,1833337671982e-145;-6,54782246265793e-145;2,5;0,0300000000000011
"elapsed61";"f6";100;30;2,28167489920094e-162;-3,11793266798211e-162;1,74639340680307e-162;1,76766489223451e-162;-3,5816000530008e-162;3,01668843592469e-163;2,52301687970867e-162;1,24741512810153e-162;-3,48655115300199e-162;2,47271541969394e-162;2,5;0,0499999999999972
"elapsed62";"f6";100;50;-0,0367253274205814;0,0182268754579072;-0,00594432623131503;-0,0071254032180233;0,0363093502839957;-0,0992161226634331;-0,0301582126301775;0,056836477663429;0,000867747766985355;0,0163706425770813;2,46677963845556;0,0600000000000023
"elapsed63";"f6";100;100;-0,205895597465682;-0,201393463288813;0,0801284104099284;0,152783360037984;0,0211211634368496;-0,14467061416548;-0,100694054174953;-0,283885590215712;0,180186466301532;-0,0037465248295342;2,25123640752944;0,109999999999999
"elapsed64";"f6";500;10;0,0103598185960496;-0,549466016924957;-0,0537972639361832;-0,100881117261277;-0,00339154905090897;-0,0125222769776753;-0,00167873491404742;0,00709902002079478;0,0365252828961234;-0,550508664467465;1,90144528321031;0,0900000000000034
"elapsed65";"f6";500;30;-0,00565152188929925;-0,159759411236784;-0,253121793497134;0,0123113227664125;0,0145654817425609;-0,160288275346217;0,000315017330085357;-0,111193829571841;-0,674107181243771;0,0329929396096917;1,7796176461647;0,170000000000002
"elapsed66";"f6";500;50;0;0;0;0;0;0;0;0;0;0;2,5;0,25
"elapsed67";"f6";500;100;-0,664087408481091;0,00402331381133443;-0,00174133945375418;-0,0241791158661624;0,0031437190799853;0,00587430816730111;-0,168618079210306;-0,00156908976996209;-0,00258611187918616;0,00775219790554984;2,12817402306042;0,359999999999999
"elapsed68";"f6";1000;10;0,0275514246465396;-0,0378851794868267;-0,0167844152932274;-0,00111929475494519;0,0265776483134097;0,000437704998942622;0,00974691618638016;0,0505606273144053;-0,0391411002554778;-0,0414920007411247;2,48754122241018;0,170000000000002
"elapsed69";"f6";1000;30;-0,49358463393116;0,0124074720454432;-0,296961156971877;0,176993069934027;-0,0464692546803413;0,0157396854114026;0,0285513427185111;-0,477503131042066;-0,404078791435386;-0,181114364432971;1,62458608073109;0,310000000000002
"elapsed70";"f6";1000;50;0,0115166014810056;-0,00660385685664859;-0,596980154386336;0,00938272606980411;-0,011680798599398;-0,0196232159851485;-0,0305457972151878;-0,0131543023967902;-0,0573948717475672;0,026399350254287;2,17358395399006;0,390000000000001
"elapsed71";"f6";1000;100;0,0198286873111344;-0,165564224940237;-0,36563855843828;-0,0372367673527283;-0,0712520455484771;0,0139033498830111;-0,0451380946298498;0,0172329195249038;-0,188226633695219;-0,622572988802422;1,64884943524568;0,730000000000004
"elapsed72";"f7";100;10;9,89766979126924e-21;-2,25695014242903e-20;-1,22542565730072e-20;-2,2124391707258e-22;-1,25124253164299e-20;6,96720568731743e-21;1,22477665955831e-20;1,12534646839027e-21;-2,16890974459735e-21;-8,76315238121911e-21;0,193581236992031;0,0499999999999972
"elapsed73";"f7";100;30;0,0532403001522248;0,0503457886109715;0,0654880382807559;0,0432326493373018;-0,0280329703675885;-0,072422109387843;-0,00456819742485021;0,176768015288983;-0,0484779340098809;0,00709703209722835;0,328354137903701;0,0799999999999983
"elapsed74";"f7";100;50;-3,70387308826237e-44;-9,75444236833754e-45;5,95960330921241e-45;-5,19122308750692e-45;-1,33810486869325e-44;4,43723626130105e-44;-4,41133893122225e-45;-6,49360497722351e-46;-3,15672026656942e-44;-7,6096193797478e-45;0,486923105549067;0,120000000000005
