"";"fungsi";"iterasi";"populasi";"numVar";"selectionSize";"multipicationFactor";"hypermutationRate";"optimum";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"time"
"240";"f7";1000;100;10;40;0,5;0,5;0,578414237653367;-0,127247611284256;0,217134243249893;-0,0524614495038986;-0,0707037311792373;0,037002403140068;-0,121106322407722;-0,208161535859108;0,0468686246871948;-0,180323717594147;0,1475401866436;15,6099999999988
"241";"f8";100;10;10;2;0,5;0,5;-2654,73840332793;419,913031626493;437,472685938701;367,280977312475;411,738459020853;384,215674130246;80,2098400890827;465,15305689536;-324,666725471616;-300,562569638714;389,131333911791;0,230000000001382
"242";"f8";100;30;10;10;0,5;0,5;-3129,83428016305;430,955823510885;409,533618949354;-318,871970055625;-497,789924731478;401,529860682786;445,230393670499;448,735275538638;431,310008978471;393,239095574245;-127,69974488765;0,43999999999869
"243";"f8";100;50;10;25;0,5;0,5;-3372,78094957902;422,776925144717;425,506131490692;-265,685759484768;430,056070210412;413,274402962998;443,748824065551;438,849295256659;422,508698189631;49,9814881477505;438,206203747541;0,840000000000146
"244";"f8";100;100;10;40;0,5;0,5;-3390,40528417904;84,1003770474344;416,049534222111;192,819481249899;422,400324838236;414,705140981823;444,444521795958;428,227852797136;446,400002576411;415,302812121809;425,28169718571;1,53000000000065
"245";"f8";500;10;10;2;0,5;0,5;-3487,44682395416;429,280290845782;423,063875641674;442,122467095032;-340,179695747793;435,659938724712;444,153796415776;422,199952881783;446,640913141891;417,21675102599;381,828302051872;1,02000000000044
"246";"f8";500;30;10;10;0,5;0,5;-3516,25537093398;-318,920924095437;434,777023503557;432,274437742308;444,071755744517;215,494369156659;417,986850487068;410,851625492796;426,294345175847;402,001471957192;-300,389436772093;2,33999999999833
"247";"f8";500;50;10;25;0,5;0,5;-3957,22791020919;410,793049726635;456,129861762747;425,817668903619;423,478381009772;426,549735246226;418,024236802012;418,220423394814;421,3578957133;421,649301890284;398,594099795446;3,77000000000044
"248";"f8";500;100;10;40;0,5;0,5;-4018,35505172052;420,17284152098;440,925310831517;421,704080421478;411,116774193943;417,742995312437;419,882928254083;404,230440966785;432,842849055305;399,68299982138;419,420508434996;7,67000000000007
"249";"f8";1000;10;10;2;0,5;0,5;-3837,57238167825;422,713956795633;418,318327283487;396,344432607293;405,832674354315;411,28059476614;395,153793506324;-291,483212495223;434,093602001667;419,189538573846;417,842466151342;1,80999999999949
"250";"f8";1000;30;10;10;0,5;0,5;-3992,04928495019;444,394711405039;415,054135490209;422,354996437207;429,464324843138;438,80144553259;425,356748513877;438,866763142869;433,301404351369;425,940646324307;430,526274256408;4,27000000000044
"251";"f8";1000;50;10;25;0,5;0,5;-4037,99203958553;428,597656078637;423,469206318259;420,725512085482;410,207720473409;418,520536739379;420,146131422371;451,902501517907;421,585756121203;429,557844996452;425,393310375512;7,55000000000109
"252";"f8";1000;100;10;40;0,5;0,5;-4153,34246045518;429,42823888734;416,040964191779;417,944413376972;418,885803315789;417,22630802542;423,697076039389;415,228851372376;424,347705673426;427,879057824612;412,786885630339;15,1499999999996
"253";"f9";100;10;10;2;0,5;0,5;40,1588281721039;0,0864866733551022;-0,454774215221405;0,0794261980056765;-0,137845795154572;0,0866925072669984;-0,152840337753296;-1,13669581413269;-0,0493517708778377;1,06873397111893;-1,01726137399673;0,219999999999345
"254";"f9";100;30;10;10;0,5;0,5;42,9134133765531;-2,05375005722046;1,99499322891235;2,04859451293945;0,108089904785157;-0,0561110663414004;-0,298147885799408;-0,00459962129592917;-2,9373695230484;-1,09042532205582;-1,04094429969788;0,550000000001091
"255";"f9";100;50;10;25;0,5;0,5;34,8546527334242;0,0160290265083312;-3,94564989566803;-0,96535106420517;1,96056930541992;-1,00644326448441;-1,97325448513031;0,0235235643386842;-0,93145031452179;-0,175881714820862;-0,0660943126678468;0,759999999998399
"256";"f9";100;100;10;40;0,5;0,5;28,8012623714834;-0,985831634998322;-0,962342987060547;0,965562686920166;2,88636741161346;-0,97356125831604;0,944449279308319;0,945462567806244;1,9074224448204;-1,11641149759293;-1,04572106122971;1,64000000000124
"257";"f9";500;10;10;2;0,5;0,5;20,9550569464854;-1,04467509031296;0,00385231256484975;-1,0099797296524;-0,925009167194366;1,01045135259628;0,0691061067581176;0,954587647914886;1,010248234272;2,9219246172905;1,08097764730454;0,969999999999345
"258";"f9";500;30;10;10;0,5;0,5;18,1510529433457;1,0428692317009;1,0461713051796;0,0925922989845276;-0,995442941188812;0,906345782279968;0,108974845409393;0,988117299079895;1,00569431781769;0,934257564544677;-1,97294641017914;2,30999999999949
"259";"f9";500;50;10;25;0,5;0,5;11,4501606702176;-0,0203012776374818;-0,0829776835441587;0,00850090503692602;1,0417867565155;-1,02679161787033;-0,0611920452117918;-0,0411297869682308;1,03087014913559;0,00298743009567293;1,91444547176361;3,80000000000109
"260";"f9";500;100;10;40;0,5;0,5;12,9208871873454;1,03726869106293;-0,908871347904205;-0,0443711686134343;-0,963788170814515;0,945401151180268;0,986639487743378;0,933286941051483;-0,967947313785553;-0,0478248810768127;-0,0957533192634585;7,75
"261";"f9";1000;10;10;2;0,5;0,5;20,8787099574407;-0,86096953868866;0,0499265980720516;-0,134183208942414;0,0502284383773803;-0,972570943832397;-0,0937094879150386;0,99093847990036;0,921858122348786;0,102855114936829;-1,12854921340942;1,86000000000058
"262";"f9";1000;30;10;10;0,5;0,5;9,79784628596259;0,0409421873092652;0,00637394666671742;-0,0853273153305052;0,965095629692078;0,0077373075485232;1,02169678926468;0,974592566490173;1,04714558839798;-0,974899544715881;0,921335601806641;4,36000000000058
"263";"f9";1000;50;10;25;0,5;0,5;8,87448512754695;-0,0135293936729433;-0,0196621012687679;0,968016695976258;0,972985043525695;-0,942103490829468;-0,0740470957756045;0,910453815460206;0,00471818208694419;-0,023632504940033;-0,947488498687744;7,42000000000007
"264";"f9";1000;100;10;40;0,5;0,5;4,89789871262529;0,0453158855438236;1,03068004608154;0,992597875595092;-0,0271614480018618;0,0167336416244508;-0,968582994937897;-0,0388372135162349;-0,0220880722999572;-0,0488339114189147;-0,0161865162849431;15,5499999999993
"265";"f10";100;10;10;2;0,5;0,5;16,3356460807235;-3,98559479415417;-0,0803977996110916;4,01203206181526;10,12560300529;11,6803719699383;-5,5325163602829;-4,2432187050581;10,4210105240345;-4,78519353270531;2,206169500947;0,229999999999563
