"";"fungsi";"iterasi";"populasi";"numVar";"numMemeplex";"frogLeapingIteration";"optimum";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"time"
"29";"f3";500;10;10;5;10;1830,85057927961;-11,1341795390945;-6,68167550095309;13,2279305791005;-2,25927139048016;5,75839898963842;21,6482701035372;-43,5749675286186;17,5206411917297;14,6187374003222;6,82960187717964;25,5999999999999
"30";"f3";500;30;10;5;10;310,490094195543;-4,65242972865407;4,06259535262065;7,10823798682597;-6,62845890101618;4,75237828819458;-13,131793450516;19,6370577325476;-16,1498115688396;3,44966069592653;0,732981790424263;26,4300000000001
"31";"f3";500;50;10;5;10;356,591215372276;5,94715904939999;-4,2043304562086;-8,84388941597078;9,92233280210828;5,68309529644784;-21,3085931321132;16,0061690154803;-4,94232041799934;4,9413639277815;-3,21806075641811;27,46
"32";"f3";500;100;10;5;10;89,1283141172694;-4,74555476375428;8,73449911324697;-6,07694487446102;4,2172679566789;-4,68344504581645;2,83199636739539;0,543050086899775;-0,137448260074617;3,37081338520496;-8,25234212952517;30,3599999999999
"33";"f3";1000;10;10;5;10;1600,52312901412;-23,0367040045011;22,7853045738502;8,98470778903129;-30,5243567159313;22,1377902402163;9,14339900320521;6,84060205838226;-24,5826989800837;15,1768300990606;-13,6868933074131;48,6699999999998
"34";"f3";1000;30;10;5;10;502,455324243224;-4,5276569684166;3,11061141166848;10,2915470026553;-17,1125585141274;7,81370587755241;-1,46171809050456;11,7349910212102;-22,5643131311035;21,0022553463403;-6,79241248801237;50,5300000000002
"35";"f3";1000;50;10;5;10;234,75218296814;10,9655723554451;-11,3445691296837;-6,32712916383612;9,89004734146823;-4,2678453217436;7,31477742271725;-10,2688663245946;4,53303996760532;-1,60781116902764;2,32438320660783;52,5300000000002
"36";"f3";1000;100;10;5;10;41,4876706778509;1,40706267200116;1,14679233680018;-4,30666010334729;1,13176734859089;-2,55545044585406;6,93400106853294;-5,1572622588283;2,56419972973289;-0,533853821012555;-1,89779073112565;57,3499999999999
"37";"f4";100;10;10;5;10;29,7316832380346;-14,3689367626377;22,6130789863213;3,84864257680952;-29,7316832380346;8,22638928555883;-12,3565397059805;26,3520399915731;29,725710828513;-25,8135500365596;11,8335119662035;5,53999999999996
"38";"f4";100;30;10;5;10;12,8043151924185;12,4791732711997;-11,0223400898482;0,338688559509787;11,776579782104;12,8043151924185;-2,5455583572814;12,1189431658514;6,84865243148525;0,383548107832596;12,7913551459485;5,59999999999991
"39";"f4";100;50;10;5;10;5,52133353373511;-5,51045459178344;-3,43120635030981;-3,70068012473495;0,502949267175891;-0,104012169490268;4,17768562518398;-5,16604472659962;-5,52133353373511;4,39413848020696;-2,28728409255746;5,90000000000009
"40";"f4";100;100;10;5;10;4,61880130883865;-4,61880130883865;1,57550509988857;4,35119599455247;-1,10504145289737;-1,69042580370405;3,47080239537142;-1,21747213515656;-4,6173118107203;-3,74662271243051;-0,863975720536113;5,88999999999987
"41";"f4";500;10;10;5;10;48,6979919007983;-3,4709580964056;48,0858857428596;48,6979919007983;5,41582774675916;19,1722214871283;27,1781996335387;-1,09728269720133;2,43098303012971;18,3213994064908;-7,3820778666609;24,5
"42";"f4";500;30;10;5;10;10,6362832194698;10,2966118025538;8,91024654339575;-1,74330004849113;1,60990344598143;-10,5795951805669;-1,3830263439105;10,6362832194698;0,690344264955797;-1,38898447823177;10,285708433306;24,9099999999999
"43";"f4";500;50;10;5;10;9,64549725206838;7,75340077098306;-9,64419506104332;9,64549725206838;7,75108378711913;5,69390638759009;-6,07915838180071;0,400117014891244;9,28844271687261;-0,200016186685147;-0,249609556680849;25,21
"44";"f4";500;100;10;5;10;1,89111807154241;1,64770569734868;1,87971252247752;1,89111807154241;0,345349481054934;-0,0516480469416943;-1,71717036611704;-0,408331332112559;1,09692202917475;-0,448326907215211;0,450930756815542;25,7199999999998
"45";"f4";1000;10;10;5;10;37,2489719140908;-14,7168589921554;13,6241950409619;12,5762598386268;36,7485805363462;4,11484991687287;-28,6391325700744;-37,2489719140908;33,7895977476216;3,42243853819031;0,727995852800221;47,1400000000003
"46";"f4";1000;30;10;5;10;5,06085654454132;2,9522006049054;-4,99045387279498;-0,321806452775729;4,88900584372388;5,06025263145036;-5,06085654454132;-0,419065149746786;1,24040492180678;2,59401869193387;-0,725701577106481;52,1499999999996
"47";"f4";1000;50;10;5;10;6,98255147874584;-1,91538036967043;-6,95553103504467;0,109728207052807;-1,1848099847524;4,61283328750673;5,66445860051194;6,98255147874584;-4,78044528544485;4,13256167973927;6,10654772921569;50,3600000000001
"48";"f4";1000;100;10;5;10;2,24539264364035;1,40430950133265;-1,40210085347434;-1,10802128421366;-2,21763658417879;-0,36862648806268;2,23511264574726;2,24539264364035;-1,20458508048947;-0,812001818512116;-0,470670440643956;49,1700000000001
"49";"f5";100;10;10;5;10;580571,397112328;-1,84805662947095;3,06429201684439;-3,85911529066392;7,09014438378236;-4,41103093586593;6,33028748886476;2,304314733971;-5,27861975244224;-1,29594695631817;-2,34643625995069;5,7199999999998
"50";"f5";100;30;10;5;10;2476,04908306181;1,15125988628318;2,21875232581068;1,37225155175627;1,18657070438674;0,828403360990557;0,495850602868714;0,523522576339005;0,49704591586836;-0,98631283774316;3,9370031893207;5,98000000000002
"51";"f5";100;50;10;5;10;9323,21639872946;1,16126291972604;0,76227910482558;0,11378965526763;0,0758397279623412;0,177934426861776;0,579625374825327;-0,558292524983304;-0,0115496508154956;-0,262583794067425;-9,4854650159257;6,35000000000036
"52";"f5";100;100;10;5;10;1079,15833467666;-1,40346911646304;-0,967080834823261;0,252967100091863;0,951379724543745;1,21230444591894;0,863712929917793;0,739880227575017;1,13557907872866;1,27632267098242;1,58695915040861;6,69000000000005
"53";"f5";500;10;10;5;10;2374819,86759577;-11,5474568758455;6,4307450123374;-3,30400971505844;-2,91959075744631;-2,32839269161692;1,86891505450305;-5,62974228215797;-0,0235588460814425;-9,00476030739676;16,6576517012931;25,1999999999998
"54";"f5";500;30;10;5;10;150657,357446682;-2,26878259208672;5,07121184224719;0,960766700002827;2,75510720118584;3,17519145997318;5,3530745213389;1,72962278465082;-3,29590335898609;1,94446851329426;1,86668935341476;26,4200000000001
"55";"f5";500;50;10;5;10;1394,74673242507;-1,73079517748818;-0,389821063702818;1,16085211968591;0,975934174384756;0,400719037616201;-0,671254155264465;0,814937115199677;0,798226667555575;0,415075774633582;0,110606515894585;26,6300000000001
"56";"f5";500;100;10;5;10;139,384424465947;0,592413905245187;0,487620127930414;-0,00185741903076798;-0,362651738094098;0,474223982893938;0,167245849731586;-0,0994873593816789;-0,962049642019784;1,03128392791797;1,07613236162412;28,6500000000001
"57";"f5";1000;10;10;5;10;474020,751647075;-3,33334859811721;2,53430407061951;2,33483029897601;-6,44151135375184;3,74197968066547;-6,106421732847;-2,61796481872387;-5,80662711161448;3,78777061347781;9,01890179813487;48
"58";"f5";1000;30;10;5;10;7359,33914688707;2,18599073837522;1,33180758461541;0,154681122832295;2,40562939194475;-0,803000063062499;-1,12851360034983;1,632200693312;0,899156752094641;-0,907044736072304;0,116253371560125;49,4499999999998
