"","X","fungsi","iterasi","populasi","numVar","scalingVector","crossOverRate","optimum","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","time"
"1",1,"f1",100,10,5,0.5,0.5,1361.32605536547,1.3640312012285,2.86682124133222,3.42832577880472,-19.3039913661778,-31.0942005831748,0,0,0,0,0,0.829999999999927
"2",2,"f1",100,30,5,0.5,0.5,1710.21289258355,-24.9975840037223,0.701790489256382,-12.2393874451518,-29.302004724741,-8.74248767504469,0,0,0,0,0,2.6099999999999
"3",3,"f1",100,50,5,0.5,0.5,144.884177241688,3.43341995030642,-0.600106664933264,-7.17244615843811,8.51352483732626,2.96843184623867,0,0,0,0,0,4.44000000000005
"4",4,"f1",100,100,5,0.5,0.5,515.149564378212,-4.02321126312017,5.1095851464197,-3.00716222045594,20.956647155981,4.96300216618693,0,0,0,0,0,8.75
"5",5,"f1",500,10,5,0.5,0.5,4333.80666652773,57.8281209571287,3.96462047938257,28.1632946804166,0.181370714562945,13.4459218708798,0,0,0,0,0,4.79999999999995
"6",6,"f1",500,30,5,0.5,0.5,1187.30875082334,-24.0314704366028,-11.0108898952603,1.77108374773525,14.1219103767071,-16.9113096140791,0,0,0,0,0,13.7800000000002
"7",7,"f1",500,50,5,0.5,0.5,1363.94147480912,19.1530766431242,-19.3889465823304,20.0296408962458,7.90963131003082,-12.546756491065,0,0,0,0,0,22.04
"8",8,"f1",500,100,5,0.5,0.5,438.137975639102,8.31049783737399,2.05609771851414,-18.2346812449396,1.76628341723699,-5.40580302003946,0,0,0,0,0,41.8799999999999
"9",9,"f1",1000,10,5,0.5,0.5,3733.30046543805,-2.35762372467434,59.8804523411673,-0.022271337093116,10.944755631499,4.72073419950902,0,0,0,0,0,11.55
"10",10,"f1",1000,30,5,0.5,0.5,548.340591499303,0.84769744426012,21.2987508391961,7.90882823057473,4.71270118141547,-3.03744906559587,0,0,0,0,0,28.01
"11",11,"f1",1000,50,5,0.5,0.5,938.099299055248,-4.26949008688098,-8.01690140506253,0.742799241561443,20.9857145149726,-20.3629094408825,0,0,0,0,0,40.6900000000001
"12",12,"f1",1000,100,5,0.5,0.5,402.895975866878,-6.44874229765264,-13.502404562314,0.135460612364113,-8.72765500098467,-10.1392533397302,0,0,0,0,0,79.4400000000001
"13",13,"f2",100,10,5,0.5,0.5,7.8729451573174,0.133886928670108,-4.3501352169551,1.02243994013406,-0.0352882512379438,-2.10954486450646,0,0,0,0,0,0.990000000000009
"14",14,"f2",100,30,5,0.5,0.5,6.02602323999819,0.163827012293041,3.09394134674221,0.602165516465902,1.93124660523608,-0.0594948511570692,0,0,0,0,0,2.80999999999995
"15",15,"f2",100,50,5,0.5,0.5,2.54714539165127,0.376306574326009,-0.244087071623653,-1.59805294126272,-0.0206648535095155,0.30343200545758,0,0,0,0,0,4.70000000000005
"16",16,"f2",100,100,5,0.5,0.5,6.41555173463171,0.0871511269360781,0.696167158894241,0.0437325611710548,-4.82051014783792,-0.721828339155763,0,0,0,0,0,8.70000000000005
"17",17,"f2",500,10,5,0.5,0.5,5.12076554739067,-3.59997377905529,-0.626416800078005,-0.0625647706328891,0.117534722376149,-0.65958641236648,0,0,0,0,0,4.76999999999998
"18",18,"f2",500,30,5,0.5,0.5,1.91039707544452,-0.993298385874368,0.0982617531553842,0.105700098793022,0.108589960727841,0.601179409422912,0,0,0,0,0,13.5699999999999
"19",19,"f2",500,50,5,0.5,0.5,4.08343453649229,1.4918090775609,1.66058028000407,0.123191434831824,-0.317007047124207,-0.330822018440813,0,0,0,0,0,20.55
"20",20,"f2",500,100,5,0.5,0.5,1.75067037902295,0.208205552225991,0.0432236026972532,-0.462550912052393,0.687167363939807,0.344594460912049,0,0,0,0,0,38.7800000000002
"21",21,"f2",1000,10,5,0.5,0.5,4.79437365045359,4.55080088693649,0.0402619573287666,0.122331326710992,0.0514625590949436,-0.0293476600199938,0,0,0,0,0,9.51999999999998
"22",22,"f2",1000,30,5,0.5,0.5,3.82024954155352,0.00753561242163414,-0.12846652767621,1.30099859685288,-1.19083056808449,1.18354280828498,0,0,0,0,0,24.4399999999998
"23",23,"f2",1000,50,5,0.5,0.5,7.07805936012328,-1.22073472244665,-0.470230830833316,-0.0224923947826028,3.22773631894961,-1.76838574348949,0,0,0,0,0,38.6800000000001
"24",24,"f2",1000,100,5,0.5,0.5,2.77483512452433,-0.432420268189162,-0.595090857823379,0.0112513883505017,-1.60625990014523,0.126862754987087,0,0,0,0,0,78.78
"25",25,"f3",100,10,5,0.5,0.5,3935.18233969039,38.2951829466037,-32.0552417077124,1.83907850587275,-6.40520299784839,-50.2706501167268,0,0,0,0,0,0.960000000000036
"26",26,"f3",100,30,5,0.5,0.5,2092.16972926131,-16.7248596902937,26.849635085091,31.0868332628161,-39.0145430399571,0.394060648977757,0,0,0,0,0,2.98000000000002
"27",27,"f3",100,50,5,0.5,0.5,1088.22110622582,-29.859690903686,36.9985400699079,0.800980697385967,-16.8955571716651,10.5084178969264,0,0,0,0,0,4.87000000000012
"28",28,"f3",100,100,5,0.5,0.5,388.514163891769,-2.69885213347152,20.7906830357388,-15.1308648637496,-4.01833846699446,7.69293264020234,0,0,0,0,0,8.79999999999995
"29",29,"f3",500,10,5,0.5,0.5,4909.09036511565,-27.4796771816909,-22.3202378372662,68.6065414920449,9.04401633888483,-51.1868521629367,0,0,0,0,0,4.8599999999999
"30",30,"f3",500,30,5,0.5,0.5,768.794089815831,-10.4769606143236,11.278041289188,-12.0669542317046,33.8186431768008,-27.3317162951571,0,0,0,0,0,13.8800000000001
"31",31,"f3",500,50,5,0.5,0.5,274.044554810796,-6.7399725317955,-6.33030667668208,8.38964896684047,9.78942628971708,-8.23562031146139,0,0,0,0,0,21.03
"32",32,"f3",500,100,5,0.5,0.5,251.485986615053,7.63977923197672,-17.8768033627421,14.8504745389801,-2.63335744384676,5.96461622044444,0,0,0,0,0,39.1399999999999
"33",33,"f3",1000,10,5,0.5,0.5,439.944043127025,-7.1114236023277,5.56797162862495,-17.8923288360238,16.9479820877314,4.23443414911162,0,0,0,0,0,9.80000000000018
"34",34,"f3",1000,30,5,0.5,0.5,949.410444041943,9.97404521913268,-33.5236650425941,34.0781474485993,1.01841446012259,-18.6997392098419,0,0,0,0,0,24.8499999999999
"35",35,"f3",1000,50,5,0.5,0.5,447.721261685744,14.5845734754403,-21.5396827668883,-6.34480068692937,16.3204681797652,-2.22900549415499,0,0,0,0,0,39.1100000000001
"36",36,"f3",1000,100,5,0.5,0.5,50.2391402232312,-5.45781522323523,6.49766252124664,-4.79677776456811,5.13673278037459,0.450970706879161,0,0,0,0,0,75
"37",37,"f4",100,10,5,0.5,0.5,55.2245202474296,55.2245202474296,39.8208923172206,-32.9711674537975,-34.136442374438,-53.8251173682511,0,0,0,0,0,0.949999999999818
"38",38,"f4",100,30,5,0.5,0.5,12.0581021968974,-6.56122163054533,-9.91779949981719,4.38271583989263,-12.0581021968974,5.43096736655571,0,0,0,0,0,2.91000000000008
"39",39,"f4",100,50,5,0.5,0.5,18.071125500137,18.071125500137,13.8947294609579,-14.8247300618095,-5.06311001081485,14.9575261908467,0,0,0,0,0,4.75999999999999
"40",40,"f4",100,100,5,0.5,0.5,22.742102202028,15.5323561746627,22.742102202028,9.22301423852332,3.68469381355681,14.3997226725332,0,0,0,0,0,8.70000000000005
"41",41,"f4",500,10,5,0.5,0.5,24.8591916169971,-4.51748848281568,24.8591916169971,-8.2277715523503,-24.6752383114654,24.1077389888233,0,0,0,0,0,4.96000000000004
"42",42,"f4",500,30,5,0.5,0.5,21.4064844680252,-10.3672694822308,14.6496638483541,-21.4064844680252,-18.8645567988829,17.9583112592809,0,0,0,0,0,13.9399999999998
"43",43,"f4",500,50,5,0.5,0.5,15.1855814197916,3.96259661372795,4.31870654513204,-15.1855814197916,0.345915693515053,-14.3328683552653,0,0,0,0,0,20.7900000000002
"44",44,"f4",500,100,5,0.5,0.5,15.179503755644,-13.2122130722564,-2.3659061640501,15.179503755644,8.61296823609337,7.86285212855375,0,0,0,0,0,38.5799999999999
"45",45,"f4",1000,10,5,0.5,0.5,33.2585301017389,-25.5486821988598,14.4414075242821,-13.4582788217813,-33.2585301017389,1.71452445550992,0,0,0,0,0,9.3599999999999
"46",46,"f4",1000,30,5,0.5,0.5,35.7903588330373,-13.1303073786285,-24.2801759288088,21.7090246267617,-35.7903588330373,-18.8146351069008,0,0,0,0,0,24.5
"47",47,"f4",1000,50,5,0.5,0.5,10.9330478440853,10.9330478440853,0.856776681393967,7.45353372130921,1.7594101749637,-9.83342042409276,0,0,0,0,0,41.1700000000001
"48",48,"f4",1000,100,5,0.5,0.5,10.0127506419085,-9.06021187547594,8.22024592198431,-7.17277305121273,-10.0127506419085,-7.60628368007019,0,0,0,0,0,77.3399999999999
"49",49,"f5",100,10,5,0.5,0.5,278746.821494037,-7.23169892560691,4.2829397838068,-3.30712339840829,7.49606954312185,56.4862936490681,0,0,0,0,0,0.950000000000045
"50",50,"f5",100,30,5,0.5,0.5,191816.743865962,0.444147401140071,-6.28072917927057,-3.28751167282462,4.34522594659938,16.1747313989326,0,0,0,0,0,2.76999999999998
"51",51,"f5",100,50,5,0.5,0.5,14418.6542193684,-1.27950932364911,0.507477920036763,1.71107583792036,3.53777830459876,0.670974827371538,0,0,0,0,0,4.77999999999997
"52",52,"f5",100,100,5,0.5,0.5,9732.71254982601,-1.10263550654054,-1.17223449284211,1.58249430824071,3.37660030229017,1.87941416166723,0,0,0,0,0,8.86999999999989
"53",53,"f5",500,10,5,0.5,0.5,1474186.98542752,-7.25079720199574,-7.2562740650028,-9.42252638633363,8.96928729023784,49.8655452544335,0,0,0,0,0,5
"54",54,"f5",500,30,5,0.5,0.5,22447.5479862372,-3.47460440243594,0.294043743951988,-2.16258906053554,5.34216120606288,37.4684053888086,0,0,0,0,0,13.8599999999999
"55",55,"f5",500,50,5,0.5,0.5,75161.9983947259,-1.42286017304286,1.69920335218194,2.44196000961892,5.44787876307964,57.0795304875355,0,0,0,0,0,21.2600000000002
"56",56,"f5",500,100,5,0.5,0.5,23016.6599645403,0.790921821026132,0.568603249266744,-4.51203051838093,13.0015638451005,181.325328442472,0,0,0,0,0,38.7199999999998
